,Вопрос,1,2,3,4,Правильный ответ
7506,Какие мешки есть у хомяков?,заплечные,защёчные,заспинные,заушные,2.0
7507,Кого перед каждым матчем целовал капитан сборной Франции по футболу Лоран Блан?,жену,дочь,тренера,вратаря,4.0
7508,В каком заведении сотрудники МУРа всё-таки выследили Фокса в фильме «Место встречи изменить нельзя»?,в кино,в театре,в ресторане,в бильярдной,3.0
7509,Кто придумал город Глупов?,Гоголь,Салтыков-Щедрин,Чехов,Ильф и Петров,2.0
7510,Какой великий полярный исследователь организовал помощь голодающим Поволжья в 20-х годах прошлого века?,Руаль Амундсен,Фритьоф Нансен,Роберт Скотт,Роберт Пири,2.0
7511,Кого особенно любил рисовать Эдгар Дега?,балерин,официанток,цветочниц,кошек,1.0
7512,На каких животных скачки не проводятся?,слоны,страусы,верблюды,зебры,4.0
7513,Как в поэме «Россия» Максимилиан Волошин назвал Петра I?,первым большевиком,первым пролетарием,первым коммунистом,первым капиталистом,1.0
7514,"Чем, согласно расхожему мнению, богатей гребёт деньги?",совком,граблями,лопатой,экскаватором,3.0
7515,Что делает расстроенная девушка?,бровки домиком,губки шалашиком,глазки хибаркой,ушки сарайчиком,1.0
7516,Как называется одна из игральных карт?,рокер,докер,брокер,джокер,4.0
7517,Как в обиходе называют процесс восстановления свойств аккумулятора?,массаж,зарядка,йога,фитнес,2.0
7518,Как иначе называют морских иглокожих животных трепангов?,морской огурец,морской кабачок,морской баклажан,морской патиссон,1.0
7519,Что ели герои сказки Чуковского «Тараканище»?,конфеты,мармелад,шоколад,пряники,4.0
7520,"В каком журнале мечтал работать фотограф, герой фильма Эльдара Рязанова «Зигзаг удачи»?",«Весёлые картинки»,«Огонёк»,«Нева»,«Корея»,2.0
7521,Кого писатель Венедикт Ерофеев назвал выкормышем волков британского империализма?,Чарльза Дарвина,Редьярда Киплинга,Уинстона Черчилля,Элтона Джона,2.0
7522,Как называется вращение гимнаста вокруг турника на выпрямленных руках?,луна,звезда,комета,солнце,4.0
7523,Какое слово переводится с греческого как «козлиная песнь»?,трагедия,комедия,серенада,романс,1.0
7524,Какой знак Мелетий Смотрицкий упомянул в своей «Грамматике» 1619 года как «удивная»?,многоточие,вопросительный,восклицательный,кавычки,3.0
7525,Как называется один из типов огранки алмаза?,груша,яблоко,слива,персик,1.0
7526,Имя какого героя Шекспира носит один из спутников Урана?,Гамлет,Ромео,Отелло,Оберон,4.0
7527,Какую статью Вольтер не писал для «Энциклопедии» Дидро?,«Эстетика»,«Изящество»,«Дух»,«Красноречие»,1.0
7528,Как правильно продолжить пословицу «На чужой каравай…»?,нос не задирай,глаз не открывай,рот не разевай,губы закатай,3.0
7529,Что может сделать стрелка на чулках?,побежать,поскакать,поползти,попрыгать,1.0
7530,Кто стал героем песни группы «Uma2rman»?,Анина из-под Берлина,Вайнона из Вашингтона,Анна из Закопане,Прасковья из Подмосковья,4.0
7531,Какая доска используется акробатами в цирке?,школьная,гладильная,подкидная,стиральная,3.0
7532,"Кем, по словам Пушкина, приходился ему Евгений Онегин?",родственником,соседом,приятелем,одноклассником,3.0
7533,К помощи чего вынужден прибегать любитель сигар?,гильотины,виселицы,плахи,яда,1.0
7534,Сколько отверстий в шаре для боулинга?,2,3,4,5,2.0
7535,В каком из этих слов допускается ударение на оба слога?,творог,столяр,квартал,щавель,1.0
7536,От чего образовывал псевдонимы своих актёров граф Шереметьев?,от места жительства,от имён нимф,от названий цветов,от драгоценных камней,2.0
7537,Кто зажёг олимпийский огонь в Лужниках в 1980 году?,борец,пловец,баскетболист,гимнаст,3.0
7538,Что должен был привезти с собой каждый первоклассник школы волшебников Хогвартс?,метлу,кофемолку,подушку,телескоп,4.0
7539,"Что, как говорят, ломает лицемерный человек?",трагедию,комедию,драму,водевиль,2.0
7540,Что солдат срочной службы наматывал на ноги?,портупею,портьеры,портянки,портвейн,3.0
7541,Что часто прерывает телевизионные передачи?,рекламный шарик,рекламный валик,рекламный ролик,рекламный шкалик,3.0
7542,"Что бывает на табло у команды, проигрывающей под ноль?",булка,крендель,пончик,баранка,4.0
7543,Что страстно любит меломан?,мел,мелочь,миелофон,музыку,4.0
7544,"Какой предмет, подаренный Ариадной, помог Тесею выйти из лабиринта?",клубок,катушка,бобина,веретено,1.0
7545,На что наступает одной ногой статуя Свободы в Нью-Йорке?,на меч,на яблоко,на карту Англии,на оковы,4.0
7546,Какая фамилия была у главаря бандитов в фильме режиссёра Александра Серого «Джентльмены удачи»?,Чёрный,Белый,Серый,Тёмный,2.0
7547,Для чего предназначались курзалы?,для курения кальянов,для разведения кур,для проведения концертов,для созерцания куртизанок,3.0
7548,В каком жанре Бетховен написал только одно законченное произведение?,балет,опера,симфония,соната,2.0
7549,Как в кириллице именовалась буква «Н»?,нос,наш,нет,несу,2.0
7550,Вместе с названием русские корабли получали девиз. Как назывался корабль с девизом «Терпением увидишь делу окончание»?,«Щука»,«Сокол»,«Черепаха»,«Пчела»,3.0
7551,Как можно подниматься в горку на лыжах?,ёлочкой,сосенкой,берёзкой,дубком,1.0
7552,Как начинается сказка Корнея Чуковского: «Добрый доктор Айболит…»?,Он известный эрудит,Он под деревом сидит,По-китайски говорит,В Интернете он флудит,2.0
7553,"Как называются брусья, которые используются в спортивной гимнастике?",параллельные,перпендикулярные,бесконечные,брусья Мёбиуса,1.0
7554,Что нужно астроному для работы?,кинескоп,микроскоп,телескоп,фонендоскоп,3.0
7555,Как называется пьеса Чехова?,«Две бабушки»,«Три сестры»,«Четыре тёщи»,«Пять племянников»,2.0
7556,Что журнал «Тайм» однажды признал «Человеком года»?,телефон,телевизор,компьютер,космический корабль,3.0
7557,Валюта какого государства не называется долларом?,Канады,Мексики,Австралии,Палау,2.0
7558,"Как зовут канадскую пару бадминтонисток, выступавшую на Олимпийских играх в Лондоне?",Брюс — Ли,Джеки — Чан,Арнольд — Шварценеггер,Сильвестр — Сталлоне,1.0
7559,"Как называлась деревянная дощечка, которую носили с собой в древности на Руси малограмотные люди?",нос,корма,палуба,рея,1.0
7560,"Какой была настоящая фамилия Штирлица, если верить книгам Юлиана Семёнова?",Исаев,Тихонов,Петров,Владимиров,4.0
7561,Что часто говорят о бесследной пропаже чего-либо?,курица клювом склевала,лошадь копытом растоптала,корова языком слизнула,мышка хвостиком смахнула,3.0
7562,Что из этого не характеристика плохого человека?,прохвост,негодяй,подонок,гаджет,4.0
7563,Как зовут героиню сказки Мамина-Сибиряка?,Серая Шейка,Белая Ножка,Синяя Тушка,Красная Гузка,1.0
7564,"От чего, согласно русскому выражению, душа уходит в пятки?",от холода,от голода,от страха,от щекотки,3.0
7565,Какой ход не может быть первым в шахматной партии?,e2-e4,f1-h3,b1-c3,a2-a3,2.0
7566,Как называются крупные бурятские пельмени?,ужимки,мины,фигуры,позы,4.0
7567,Какое вещество химик назовёт основанием?,щёлочь,соль,кислоту,ингибитор,1.0
7568,Кого или что греческий философ Протагор назвал мерой всех вещей?,деньги,время,богов,человека,4.0
7569,"Какое название остров Бедлоу получил в 1956 году, хотя мог бы быть переименован на 70 лет раньше?",остров Пасхи,остров Свободы,остров Святой Елены,остров Вознесения,2.0
7570,Как Гоголь перевёл на русский язык с украинского слово «винница»?,место покаяния,дочь винодела,винокурня,бочка на 40 ведёр,3.0
7571,Какой аппарат помогает человеку сохранять равновесие?,фотографический,сварочный,вестибулярный,самогонный,3.0
7572,Кто или что упомянуто в названии популярного вальса Иоганна Штрауса?,голубой кит,голубой Дунай,голубой щенок,голубой вагон,2.0
7573,Как называется популярная детская игрушка?,трансформер,трансформатор,трансфокатор,трансглюкатор,1.0
7574,"Какую звезду имел в виду поэт, написав строку «И звезда с звездою говорит»?",звезду эстрады,морскую звезду,орден Красной Звезды,звезду на небе,4.0
7575,Что решил завоевать Урфин Джюс?,руку и сердце Элли,Изумрудный город,уважение мигунов,олимпийское золото,2.0
7576,Собрание какого кооператива — в центре сюжета кооператива «Гараж»?,«Сослуживец»,«Фауна»,«Товарищ»,«Лада»,2.0
7577,Кто из знаменитых спортсменов не братья?,легкоатлеты Знаменские,боксёры Кличко,хоккеисты Майоровы,футболисты Воронины,4.0
7578,Что появилось при царе Алексее Михайловиче и именовалось тогда «позорищем»?,общественная баня,театр,гауптвахта,статуя Аполлона,2.0
7579,Какой цветок у ботаников зовётся фиалкой трёхцветной?,ромашка,календула,примула,анютины глазки,4.0
7580,Разрушение чего породило фразу «Не останется камня на камне»?,Бастилии,Карфагена,Иерусалима,Вавилонской башни,3.0
7581,В какой спортивной дисциплине честь Кембриджского университета отстаивал актёр Хью Лори?,бег,бокс,крикет,гребля,4.0
7582,Кто ездит в транспорте без билета?,зайцы,лисы,медведи,лоси,1.0
7583,Как называются ранние весенние цветы?,подлёдники,подсугробники,подснежники,подградники,3.0
7584,Какого человека сравнивают с банным листом?,жадного,трусливого,весёлого,навязчивого,4.0
7585,Чем не кормят соловья в известном выражении?,поэмами,баснями,сонетами,мадригалами,2.0
7586,Что дало название группе «АББА»?,месторождение группы,прозвище продюсера,имена участников,ноты ля и си-бемоль,3.0
7587,Что делают долотом?,пилят,сверлят,строгают,долбят,4.0
7588,"Как зовут фею, которая танцует в балете «Щелкунчик»?",Драже,Монпансье,Карамель,Пралине,1.0
7589,Как переводится с французского языка слово «фуршет»?,салфетка,вилка,блюдо,бокал,2.0
7590,Кем актёр Михаил Чехов приходился Антону Чехову?,кузеном,племянником,дядей,однофамильцем,2.0
7591,Благодаря чему сборная Италии обошла нашу сборную в полуфинале чемпионата Европы по футболу 1968 года?,серии пенальти,золотому голу,решению судьбы,жребию,4.0
7592,В каком из этих фильмов снимался Юрий Никулин?,«Девушка с характером»,«Девушка с гитарой»,«Девушка без адреса»,«Девушка с маяка»,2.0
7593,В какой усадьбе находится «скамья Онегина»?,Тригорское,Михайловское,Петровское,Болдино,1.0
7594,Как в Бельгии называют любителей зимнего купания?,моржи,тюлени,пингвины,полярные медведи,4.0
7595,Что у автомобиля выхлопное?,валторна,труба,свирель,свистулька,2.0
7596,"Что, согласно фразеологизму, заваривает человек, когда берётся за хлопотное, запутанное дело?",чай,кофе,кисель,кашу,4.0
7597,"Какого цвета бывает тоска, согласно русскому выражению?",синяя,красная,зелёная,серо-буро-малиновая,3.0
7598,"Как называют мужчину, весьма любящего ухаживать за женщинами?",дамский угодник,дамский негодник,дамский ежегодник,дамский озорник,1.0
7599,Что из перечисленного разновидность белого хлеба?,вышиванка,вязанка,плетёнка,штопанка,3.0
7600,"Что, если верить песне группы «Наутилус Помпилиус», пьёт Ален Делон?",бульон,крюшон,бурбон,одеколон,3.0
7601,Какой день недели славяне посвящали богу Перуну?,понедельник,воскресенье,четверг,субботу,3.0
7602,Какой город не стоит на берегу моря?,Архангельск,Мурманск,Владивосток,Таганрог,1.0
7603,Что носило название «пенни-фартинг»?,игральный автомат,телескоп,велосипед,дуэт клоунов,3.0
7604,"Какая птица, согласно легенде, выдала Христа преследователям, за что Господь связал её лапки невидимыми путами?",ворона,воробей,кукушка,скворец,2.0
7605,Что запретил солдатам во время русско-японской войны командующий армией генерал Куропаткин?,жечь костры,передвигаться днём,пить воду из колодцев,стирать форму,4.0
7606,"Что делал художник Валентин Серов, чтобы проиллюстрировать заказанную в 1895 году книгу?",ходил в театр,посещал зоопарк,ездил на Волгу,летал на воздушном шаре,2.0
7607,Что парикмахер делает на голове клиента?,завивку,подливку,наливку,прививку,1.0
7608,Как недружелюбно называют сварливую и злую старуху?,старая солонка,старая перечница,старая сахарница,старая супница,2.0
7609,Что бывает у телефона?,кнопки,скрепки,клёпки,шпильки,1.0
7610,"Где зайцы в полночь косили траву, если верить песне из фильма «Бриллиантовая рука»?",на зелёном лугу,на высоком холме,в тёмно-синем лесу,в той степи глухой,3.0
7611,Как называют разновидность ручной гранаты?,клубничка,вишенка,бананчик,лимонка,4.0
7612,Как охарактеризовал собственное отражение ослик Иа-Иа в отечественном мультфильме?,отвратительный портрет,чудовищная картина,душераздирающее зрелище,невыразимый ужас,3.0
7613,Какая из этих энциклопедий содержит больше словарных статей?,«Британника»,«Американа»,«Большая советская энциклопедия»,«Википедия»,4.0
7614,"Какое животное было талисманом чемпионата мира по футболу, прошедшего во Франции в 1998 году?",бык,орёл,волк,петух,4.0
7615,Имя какого российского императора носит мост через Сену в Париже?,Александра I,Александра II,Александра III,Петра I,3.0
7616,В каком органе человека можно обнаружить лабиринт?,в глазу,в носу,в ухе,в кишечнике,3.0
7617,На какой российской купюре нет изображения реки?,10 рублей,50 рублей,1000 рублей,500 рублей,3.0
7618,Что предлагают делать в случае финансовых затруднений?,затянуть пояса,укоротить подтяжки,отрезать галстук,зашить карманы,1.0
7619,Что коллекционирует филателист?,марки,доллары,фунты,тугрики,1.0
7620,Что держит в руке американская статуя Свободы?,фонарь,факел,канделябр,зажигалку,2.0
7621,Как называется вид яблони?,бирманка,ямайка,непалка,китайка,4.0
7622,Как товарищ Саахов в фильме «Кавказская пленница» не называл Кавказ?,житница,кузница,здравница,горница,4.0
7623,"Как называется крепление, без которого не обходится снаряжение альпиниста?",маузер,карабин,гранатомёт,гаубица,2.0
7624,В каком виде спорта игроков реже всего штрафуют за грубость?,волейбол,американский футбол,водное поло,гандбол,1.0
7625,Какое арифметическое действие задолго до появления кино называли мультипликацией?,сложение,вычитание,умножение,деление,3.0
7626,"Откуда были привезены часы, установленные на Спасской башне Московского Кремля в начале 18 века?",из Голландии,из Италии,из Франции,из Пруссии,1.0
7627,Какой памятник установлен в Санкт-Петербурге возле Петропавловской крепости?,чёрной кошке,зайчику,чижику-пыжику,носу майора Ковалёва,2.0
7628,Какой московский институт окончил писатель-сатирик Лион Измайлов?,стали и сплавов,инженерно-строительный,авиационный,физико-технический,3.0
7629,Как назывался первый сборник стихов Маяковского?,«Я»,«Ты»,«Мы»,«Вы»,1.0
7630,Фотографии каких объектов принесли славу американскому фотографу Уилсону Бентли на рубеже 19-20 веков?,бабочек,электронов,бриллиантов,снежинок,4.0
7631,Что можно увидеть у атлетически сложенного мужчины на теле?,пресс,наковальню,токарный станок,прокатный стан,1.0
7632,Во что наливают варенье?,в вилку,в розетку,в штепсель,в разъём,2.0
7633,Что говорят о шуме и споре по незначительному поводу?,шторм в бокале вина,цунами в чашке чая,ураган в рюмке водки,буря в стакане воды,4.0
7634,"Что, по словам Аристарха, даёт таможня?",прикурить,на чай,добро,дуба,3.0
7635,Что говорят о человеке знатного происхождения?,белая кость,чёрный глаз,красное ухо,сизый нос,1.0
7636,"Что, если верить названию фонтана в Петергофе, Самсон делает с пастью льва?",открывает,закрывает,разрывает,кладёт в неё голову,3.0
7637,В каком фильме не звучат песни Владимира Высоцкого?,«Место встречи изменить нельзя»,«Вертикаль»,«Опасные гастроли»,«Стрелы Робин Гуда»,1.0
7638,В каком произведении Пушкина есть строка «Все флаги в гости будут к нам»?,«Полтава»,«Медный всадник»,«Путешествие в Арзрум»,«Арап Петра Великого»,2.0
7639,Какой цветок имеет другое название шпажник?,георгин,пион,гладиолус,гиацинт,3.0
7640,Что представляет собой завтрак аристократа на одноимённой картине Павла Федотова?,яичницу,чёрный хлеб,булку с икрой,шампанское,2.0
7641,Благодаря какой профессии родился фразеологизм «большая шишка»?,кузнец,бортник,бурлак,лесоруб,3.0
7642,"В честь кого получил неофициальное название первый в истории подводный дом, построенный в 1962 году Жаком Ивом Кусто?",Архимеда,Сократа,Диогена,Евклида,3.0
7643,Кто такая конюга?,бабочка,рыба,рептилия,птица,4.0
7644,Кто из этих людей не был похоронен в мавзолее?,Иосип Броз Тито,Григорий Котовский,Антониу Салазар,Николай Пирогов,3.0
7645,Каким бывает курс валют?,летающим,ползающим,плавающим,еле ходящим,3.0
7646,"Что, если верить расхожему выражению, у моды бывает последним?",шёпот,писк,свист,храп,2.0
7647,Как называется способ подъёма лыжника в гору?,лесенка,фуникулёр,эскалатор,стремянка,1.0
7648,Кому народная мудрость советует отдать свой ужин?,другу,собаке,врагу,тёще,3.0
7649,Как называется одна из первых песен группы «Любэ»?,«Полундра»,«Берегись автомобиля»,«Атас»,"«Спасайся, кто может!»",3.0
7650,На чём поскользнулся Семён Семёнович Горбунков в фильме «Бриллиантовая рука»?,на масляном пятне,на банановой кожуре,на шкурке сала,на арбузной корке,4.0
7651,В чём измеряется электрический заряд?,в кулонах,в бусах,в серьгах,в кольцах,1.0
7652,Чья музыка использована в заставке программы «Время»?,Щедрин,Таривердиев,Свиридов,Петров,3.0
7653,Как в хоккее называют игроков моложе 20 лет?,клюшники,масочники,маечники,конёчники,2.0
7654,Что Иоган Штраус-сын вставил в ноты своей польки «На охоте»?,выстрелы,хор охотников,звон бокалов,лай собак,1.0
7655,Что в Древней Греции делали в наказание?,прокалывали уши,красили ногти,наносили татуировку,брили налысо,3.0
7656,Какую тягу использовали первые в мире поезда метро?,конная,паровозная,тепловозная,электрическая,2.0
7657,Что в институте делают с неуспевающим студентом?,исключают,выключают,заключают,отключают,1.0
7658,"На чём играют «и швец, и жнец» в известной поговорке?",на балалайке,на дуде,на бирже,на нервах,2.0
7659,Что устраивает начальник нерадивым работникам?,массаж,стрижку,бритьё,головомойку,4.0
7660,"Кого, образно говоря, вешают на человека, несправедливо обвиняя его в чём-либо?",кошек,собак,мартышек,бегемотов,2.0
7661,Что входит в стандартную экипировку футболистов?,чулки,гамаши,гетры,колготки,3.0
7662,Как называется город в Липецкой области?,Сом,Елец,Карась,Ёрш,2.0
7663,Какой фильм в 1963 году получил Большой прих Московского международного кинофестиваля?,«Восемь с половиной»,«Тридцать три»,«Девять с половиной недель»,«48 часов»,1.0
7664,"Где происходило действие, описанное выражением «одним миром мазаны»?",на кухне,в мастерской художника,в церкви,в парихмахерской,3.0
7665,"Какая новинка, появившаяся в Лондоне в середине 18 века, весьма расстроила городских кебменов?",паровая повозка,уличный водосток,электрическое освещение,зонтик,4.0
7666,"Чем занималась, согласно буквальному значению слова, средневековая инквизиция?",преследованием,наказанием,расследованием,надзирательством,3.0
7667,"Какой поэт, помимо Жуковского, имел отношение к тексту гимна Российской империи «Боже, царя храни!»?",Пушкин,Фет,Майков,Тютчев,1.0
7668,Какой народ называет себя «шкиптар»?,албанцы,сербы,венгры,саамы,1.0
7669,Сколько человек побывали на Луне?,2,7,12,24,3.0
7670,От какой болезни частенько «страдают» популярные личности?,планетной,кометной,лунной,звёздной,4.0
7671,Что в известное пословице метёт по-новому?,новая метла,новая швабра,новый веник,новая вьюга,1.0
7672,"Что, образно говоря, грызут люди, овладевающие знаниями?",карандаши,ногти,гранит науки,мрамор метрополитена,3.0
7673,Куда вставляется ключ от дверного замка?,в шахту,в забой,в скважину,в штольню,3.0
7674,Какой былинный герой был сыном священника?,Добрыня Никитич,Алёша Попович,Илья Муромец,Микула Селянинович,2.0
7675,"Как называется набор мелких гирь, предназначенный для взвешивания?",отвес,разновес,перевес,недовес,2.0
7676,В каком городе похоронен философ Иммануил Кант?,Дрезден,Варшава,Смоленск,Калининград,4.0
7677,Как в российской армии с давних пор солдаты называют половник?,раздающий,разливающий,разводящий,распределяющий,3.0
7678,Кто не играл в кино графа Монте-Кристо?,Жерар Депардье,Виктор Авилов,Антонио Бандерас,Ричард Чемберлен,3.0
7679,Какое животное было изображено на первой почтовой марке Канады?,медведь,бобр,олень,собака,2.0
7680,Сколько у человека молочных зубов?,20,24,28,32,1.0
7681,Что в 1890 году предложил ввести в футболе ирландский вратарь Уильям Маккрум?,сетку для ворот,номера игроков,пенальти,вратарскую площадку,3.0
7682,"Что показывают, выражая скрытое несогласие или отказ?",товар лицом,небо в алмазах,фигу в кармане,кузькину мать,3.0
7683,Как обычно проходит хорошо продуманное и тщательно подготовленное мероприятие?,без страха и упрёка,без руля и ветрил,без царя в голове,"без сучка, без задоринки",4.0
7684,"Кто проводит много времени за столом, который называется верстак?",хирург,учитель,столяр,бильярдист,3.0
7685,"Куда попадает шахматист, у которого заканчивается лимит времени?",в историю,в цейтнот,в яблочко,пальцем в небо,2.0
7686,Как называлось одно из подразделений армии Наполеона?,пожилой полк,старая гвардия,древняя дивизия,престарелый контингент,2.0
7687,С чем в песне Пугачёвой «Звёздное лето» играет грибной дождь?,с облаком,с радугой,с ручейком,с грибами,3.0
7688,Как называется семейство тюленей?,глазастые,ушастые,губастые,носатые,2.0
7689,"Основой какого романа стали фальшивые мемуары Шарля де Баца де Кастельмора, в юности приехавшего в Париж?",«Графиня де Монсоро»,«Сорок пять»,«Граф Монте-Кристо»,«Три мушкетёра»,4.0
7690,"Кого или что на самом деле имели в виду, произнося «скатился кубарем»?",ежа,слугу,телегу,игрушку,4.0
7691,Кого или что в игре бросает баскетболист?,курить,перчатку,мяч,жену,3.0
7692,Какая фраза характеризует покупку недорогой и качественной вещи?,дёшево и сердито,дорого и печально,бесценно и грустно,нищенски и весело,1.0
7693,"Что, как уверяет молва, можно сделать от стыда?",сквозь воду просочиться,сквозь землю провалиться,сквозь камень пробуриться,сквозь джунгли прорубиться,2.0
7694,Куда выходят на сейнере?,в море,в тираж,в люди,замуж,1.0
7695,"Как завершил Пушкин фразу монаха Пимена, начинающуюся словами «Ещё одно, последнее сказанье…»?",жду гонорара за изданье,и отправляюсь на собранье,и летопись окончена моя,и сюда я больше не ездок,3.0
7696,"Какой камень, по убеждению алхимиков, способствовал превращению неблагородных металлов в золото?",краеугольный камень,философский камень,сизифов камень,камень за пазухой,2.0
7697,Чей мех идёт на изготовление цигейковой шубы?,зайца,верблюда,овцы,ламы,3.0
7698,"Кому мы обязаны появлением выражения «Иван, не помнящий родства»?",опричникам,сиротам,каторжникам,рекрутам,3.0
7699,Что представляет собой поперечное сечение клинка спортивной шпаги?,треугольник,ромб,прямоугольник,круг,1.0
7700,Какой театр возглавлял Всеволод Мейерхольд?,имени Вахтангова,имени Станиславского,имени Пушкина,имени Мейерхольда,4.0
7701,"Кем была Аделаида, чьё имя носит город в Австралии?",матерью лорда Сиднея,сестрой Абеля Тасмана,женой короля Вильгельма IV,дочерью Джеймса Кука,3.0
7702,"Кем была по профессии Эллен Чёрч, ставшая в 1930 году первой в истории стюардессой?",учительницей,переводчицей,медсестрой,проводницей,3.0
7703,"Что говорят о человеке, совершающем неадекватные поступки?",подвал залило,стены попадали,пол вздулся,крыша поехала,4.0
7704,"Что затеяли сыграть проказница Мартышка, Осёл, Козёл да косолапый Мишка?",партию в бридж,гейм в теннис,квартет,свадьбу,3.0
7705,"Как называется безногая ящерица, которую часто принимают за змею?",желтопузик,синебрюх,красноживотик,зеленочревик,1.0
7706,В каком режиме полёта часто находятся космические аппараты?,в постельном,в температурном,в пропускном,в автономном,4.0
7707,"Как называется устройство, усиливающее голос человека?",штопор,стопор,рупор,ступор,3.0
7708,Где не бывает стрелок?,на брюках,на циферблате,на железнодорожных путях,на бильярдном столе,4.0
7709,Кто не был узником Петропавловской крепости?,царевич Алексей,Емельян Пугачёв,Александр Радищев,княжна Тараканова,2.0
7710,"С кем или чем писатель Николай Носов сравнил коротышек, говоря об их росте?",с огурцом,с гномом,с карандашом,с воробьём,1.0
7711,Чья деятельность породила выражение «втирать очки»?,врача,строителя,повара,шулера,4.0
7712,"Какой спектакль был первым в репертуаре театра, созданного Станиславским и Немировичем-Данченко?",«Чайка»,«На дне»,«Царь Фёдор Иоаннович»,«Синяя птица»,3.0
7713,На эмблеме какого футбольного клуба изображена голова воина в шлеме?,«Атланта»,«Аякс»,«Панатинаикос»,«Бавария»,2.0
7714,Когда с территории Кремля выписались последние проживавшие на ней москвичи?,в 1921 году,в 1941 году,в 1961 году,в 1981 году,3.0
7715,"Каких животных, согласно Плинию Старшему, римляне с успехом применяли в бою против слонов?",буйволов,гусей,свиней,единорогов,3.0
7716,"Какому «волшебному слову» учат родители своих детей, чтобы те были вежливыми?",хочу,пожалуйста,абракадабра,быстро,2.0
7717,Как называется роман Лермонтова?,«Герой дикого племени»,«Герой тяжкого бремени»,«Герой с сединой на темени»,«Герой нашего времени»,4.0
7718,Какая порода собак существует на самом деле?,лисоед,зайцебой,волкодав,сусликогрыз,3.0
7719,"По какой улице предлагают «катиться колбаской» человеку, которого выгоняют вон?",по Большой Садовой,по Большой Ордынке,по Малой Арнаутской,по Малой Спасской,4.0
7720,Какое устройство замыкает электрическую цепь?,будильник,рубильник,паяльник,кипятильник,2.0
7721,Что в Одессе именуют Привозом?,вокзал,таможню,морской порт,рынок,4.0
7722,Какой советский космонавт первым вышел в открытый космос?,Юрий Гагарин,Алексей Леонов,Герман Титов,Павел Попович,2.0
7723,"В каком московском театре одновременно служили Евгений Леонов, Александр Абдулов и Олег Янковский?",МХАТ,театр имени Е. Вахтангова,Ленком,Театр киноактёра,3.0
7724,"Откуда родом, если верить названию, шелковистая трикотажная ткань фильдеперс?",из Франции,из Индии,из Ирана,из Китая,3.0
7725,Какой певец исполнил русские версии песен для заставок диснеевских мультсериалов «Чёрный плащ» и «Утиные истории»?,Влад Сташевский,Богдан Титомир,Мурат Насыров,Андрей Губин,3.0
7726,Какое развлечение породило выражение «игра не стоит свеч»?,карты,шахматы,футбол,казаки-разбойники,1.0
7727,Чей портрет носил в медальоне Лев Николаевич Толстой?,Махатмы Ганди,Софьи Толстой,Жан-Жака Руссо,Александра Пушкина,3.0
7728,Какое сооружение в конце 19 века было самым высоким в Москве?,храм Христа Спасителя,Сухарева башня,колокольня Ивана Великого,Троицкая башня Кремля,1.0
